 (3.082615054807988919e-01+0.000000000000000000e+00j), (0.000000000000000000e+00+2.849086501769092505e-01j), (0.000000000000000000e+00-4.999999999999999445e-01j), (0.000000000000000000e+00-2.698398143237810132e-01j), (0.000000000000000000e+00-1.451427636077213411e-16j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00-5.177014899980185185e-17j), (3.143850980550270957e-02+0.000000000000000000e+00j), (-9.383270341996284569e-03+0.000000000000000000e+00j), (0.000000000000000000e+00-7.070445206899551582e-01j)
 (3.082615054807987809e-01+0.000000000000000000e+00j), (0.000000000000000000e+00+2.849086501769090285e-01j), (0.000000000000000000e+00+5.000000000000002220e-01j), (0.000000000000000000e+00-2.698398143237800140e-01j), (0.000000000000000000e+00-6.374930640275917430e-16j), (0.000000000000000000e+00+1.858206179157939324e-16j), (0.000000000000000000e+00+1.079446723537213933e-16j), (3.143850980550211283e-02+0.000000000000000000e+00j), (7.070445206899552693e-01+0.000000000000000000e+00j), (0.000000000000000000e+00-9.383270341996569064e-03j)
 (3.082615054807986699e-01+0.000000000000000000e+00j), (0.000000000000000000e+00+2.849086501769085289e-01j), (0.000000000000000000e+00-4.999999999999992228e-01j), (0.000000000000000000e+00-2.698398143237811242e-01j), (0.000000000000000000e+00-1.296612170878157874e-16j), (0.000000000000000000e+00+2.739099212889915945e-17j), (0.000000000000000000e+00-2.184525926772348650e-17j), (3.143850980550252222e-02+0.000000000000000000e+00j), (9.383270341996726924e-03+0.000000000000000000e+00j), (0.000000000000000000e+00+7.070445206899544921e-01j)
 (3.082615054807989474e-01+0.000000000000000000e+00j), (0.000000000000000000e+00+2.849086501769093061e-01j), (0.000000000000000000e+00+4.999999999999997780e-01j), (0.000000000000000000e+00-2.698398143237801250e-01j), (0.000000000000000000e+00-2.983508999145782384e-16j), (0.000000000000000000e+00-8.066188895434017444e-18j), (0.000000000000000000e+00-1.922844853619331518e-16j), (3.143850980550311203e-02+0.000000000000000000e+00j), (-7.070445206899558244e-01+0.000000000000000000e+00j), (0.000000000000000000e+00+9.383270341996551717e-03j)
 (3.119604010385376158e-01+0.000000000000000000e+00j), (0.000000000000000000e+00-4.036605183125292484e-01j), (0.000000000000000000e+00+0.000000000000000000e+00j), (0.000000000000000000e+00-1.249791997094752138e-01j), (0.000000000000000000e+00-6.777068530276333380e-01j), (0.000000000000000000e+00+1.983494681836726337e-01j), (0.000000000000000000e+00-3.702579952729936896e-02j), (-4.734121816974231067e-01+0.000000000000000000e+00j), (-4.440892098500626162e-16+0.000000000000000000e+00j), (0.000000000000000000e+00-1.140580685454750665e-16j)
 (3.416307240990872907e-01+0.000000000000000000e+00j), (0.000000000000000000e+00+5.869311143986122303e-02j), (0.000000000000000000e+00-6.383782391594650107e-16j), (0.000000000000000000e+00+4.585394047962667030e-01j), (0.000000000000000000e+00-2.328043732984154401e-01j), (0.000000000000000000e+00-7.626589217375797647e-01j), (0.000000000000000000e+00+1.755567131552385751e-01j), (5.402327834795186967e-02+0.000000000000000000e+00j), (2.220446049250313081e-16+0.000000000000000000e+00j), (0.000000000000000000e+00+1.084202172485504434e-17j)
 (3.416307240990872907e-01+0.000000000000000000e+00j), (0.000000000000000000e+00+5.869311143986132018e-02j), (0.000000000000000000e+00-5.828670879282071837e-16j), (0.000000000000000000e+00+4.585394047962668140e-01j), (0.000000000000000000e+00+1.083390489702079768e-01j), (0.000000000000000000e+00+2.250572135188260714e-01j), (0.000000000000000000e+00-7.773535667751442224e-01j), (5.402327834795177947e-02+0.000000000000000000e+00j), (3.885780586188047891e-16+0.000000000000000000e+00j), (0.000000000000000000e+00-3.035766082959412415e-18j)
 (3.119604010385376158e-01+0.000000000000000000e+00j), (0.000000000000000000e+00-4.036605183125288043e-01j), (0.000000000000000000e+00+4.996003610813204432e-16j), (0.000000000000000000e+00-1.249791997094764906e-01j), (0.000000000000000000e+00+6.777068530276336711e-01j), (0.000000000000000000e+00-1.983494681836727447e-01j), (0.000000000000000000e+00+3.702579952729942447e-02j), (-4.734121816974228292e-01+0.000000000000000000e+00j), (-4.996003610813204432e-16+0.000000000000000000e+00j), (0.000000000000000000e+00-1.279358563532895232e-16j)
 (3.416307240990872907e-01+0.000000000000000000e+00j), (0.000000000000000000e+00+5.869311143986129242e-02j), (0.000000000000000000e+00-5.828670879282071837e-16j), (0.000000000000000000e+00+4.585394047962664810e-01j), (0.000000000000000000e+00+1.244653243282084626e-01j), (0.000000000000000000e+00+5.376017082187535268e-01j), (0.000000000000000000e+00+6.017968536199057583e-01j), (5.402327834795183498e-02+0.000000000000000000e+00j), (2.775557561562891351e-16+0.000000000000000000e+00j), (0.000000000000000000e+00-1.691355389077386917e-17j)
 (2.740914781185196381e-01+0.000000000000000000e+00j), (0.000000000000000000e+00-5.823143241732344766e-01j), (0.000000000000000000e+00+4.718447854656915297e-16j), (0.000000000000000000e+00-2.161738662513245091e-01j), (0.000000000000000000e+00-1.953143448473655903e-16j), (0.000000000000000000e+00+1.605181806965388623e-16j), (0.000000000000000000e+00-1.115866208529215354e-16j), (7.342021172915722538e-01+0.000000000000000000e+00j), (3.330669073875469621e-16+0.000000000000000000e+00j), (0.000000000000000000e+00+2.471980953266950110e-17j)
